date,Consumption_km_Vehicle_0,Consumption_km_Vehicle_1,Consumption_km_Vehicle_10,Consumption_km_Vehicle_11,Consumption_km_Vehicle_12,Consumption_km_Vehicle_13,Consumption_km_Vehicle_14,Consumption_km_Vehicle_15,Consumption_km_Vehicle_16,Consumption_km_Vehicle_17,Consumption_km_Vehicle_18,Consumption_km_Vehicle_19,Consumption_km_Vehicle_2,Consumption_km_Vehicle_20,Consumption_km_Vehicle_21,Consumption_km_Vehicle_22,Consumption_km_Vehicle_23,Consumption_km_Vehicle_24,Consumption_km_Vehicle_25,Consumption_km_Vehicle_26,Consumption_km_Vehicle_27,Consumption_km_Vehicle_28,Consumption_km_Vehicle_29,Consumption_km_Vehicle_3,Consumption_km_Vehicle_30,Consumption_km_Vehicle_31,Consumption_km_Vehicle_32,Consumption_km_Vehicle_33,Consumption_km_Vehicle_34,Consumption_km_Vehicle_35,Consumption_km_Vehicle_36,Consumption_km_Vehicle_37,Consumption_km_Vehicle_38,Consumption_km_Vehicle_39,Consumption_km_Vehicle_4,Consumption_km_Vehicle_40,Consumption_km_Vehicle_41,Consumption_km_Vehicle_42,Consumption_km_Vehicle_43,Consumption_km_Vehicle_44,Consumption_km_Vehicle_45,Consumption_km_Vehicle_46,Consumption_km_Vehicle_47,Consumption_km_Vehicle_48,Consumption_km_Vehicle_49,Consumption_km_Vehicle_5,Consumption_km_Vehicle_6,Consumption_km_Vehicle_7,Consumption_km_Vehicle_8,Consumption_km_Vehicle_9
2026-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 07:00:00,0.0,0.0,0.374886369128398,0.0,0.0,0.0,0.0,0.0,0.19743245526512668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19554521120951138,0.0,0.0,0.0,0.0,0.0,0.2916379310605882,0.0,0.0,0.0,0.12661240976245494,0.0,0.0,0.0,0.11329772784640002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 08:00:00,0.0,0.19559239588308477,0.28883250367440555,0.14957473303256721,0.363918347646839,0.4629599006364579,0.0,0.0,0.17114821426960494,0.3355332995884713,0.4362127019559379,0.3319301286061895,0.0,0.0,0.0,0.0,0.0,0.1872959861169056,0.3115578260064925,0.5098397753088001,0.174098592200086,0.37380077020258534,0.11329772784640002,0.2762564866496924,0.0,0.11329772784640002,0.14994858987512746,0.3390916733924369,0.11329772784640002,0.0,0.0,0.1639162764943267,0.0,0.11329772784640002,0.0,0.0,0.0,0.11329772784640002,0.2962650141038307,0.0,0.35321343527247273,0.3379762618186676,0.0,0.0,0.0,0.0,0.11497503269204,0.0,0.43694422263938354,0.0
2026-01-01 09:00:00,0.18131949059820934,0.2778963561163211,0.1926913956436868,0.5098397753088001,0.2647697022100666,0.11329772784640002,0.25585272070390835,0.30032200091319994,0.11329772784640002,0.23786055623651756,0.2970373584432908,0.3013584320528686,0.17866779579826791,0.11329772784640002,0.41543818333817467,0.19208813379093448,0.3915549689002371,0.43512683277472075,0.2612542740688415,0.3946767588328153,0.2925169265122557,0.2343716564134284,0.21921065053746924,0.4081926704313758,0.17365407668817964,0.22025082330931078,0.17311167918754078,0.38916820767196547,0.15104129458497115,0.21546222864367165,0.2051444730808114,0.4888526141460195,0.2892310339914109,0.3267402732398968,0.11329772784640002,0.1782859578936224,0.0,0.12399553706466716,0.4127687969395459,0.44312236458059645,0.2998640785217662,0.11866067738150805,0.11329772784640002,0.0,0.11329772784640002,0.11329772784640002,0.11329772784640002,0.0,0.293823603518516,0.22824028310338215
2026-01-01 10:00:00,0.18132202962994293,0.2872357476311865,0.3012504514328436,0.23639565323476716,0.31199434792629505,0.11329772784640002,0.26003383216159154,0.3257844045428842,0.2563642097364201,0.11329772784640002,0.13830633170774542,0.5098397753088001,0.314524688049661,0.2157677100054442,0.11329772784640002,0.43378749412073664,0.11329772784640002,0.1302384253248026,0.5098397753088001,0.37583915923530486,0.27465687527588334,0.26432470913302825,0.11329772784640002,0.40294998253587383,0.2971393843997178,0.49198456021198983,0.2308798415087507,0.19306856845990833,0.26887926156588116,0.11329772784640002,0.35824115420801383,0.1257825345186888,0.24766739296276719,0.2817820837676153,0.4024769939439048,0.31917004040573865,0.48886161220893337,0.11942715898746566,0.25052375479824057,0.11329772784640002,0.4152484242698743,0.2906345572206298,0.19789323770587547,0.45096541018337133,0.11329772784640002,0.27611755025855655,0.3042815202865567,0.19626810411087095,0.11329772784640002,0.22655348351070317
