date,Distance_km,Consumption_kWh,Consumption_km,Location,ChargingStation,ID,PowerRating_kW,consumption_factor,VehicleID,ScheduleType,VehicleType,CompanyType
2026-01-01 00:00:00,0.0,0.0,0.0,1,1,0,80,1.0,0,Typea,Renault,Costum
2026-01-01 01:00:00,0.0,0.0,0.0,1,1,0,80,1.0,0,Typea,Renault,Costum
2026-01-01 02:00:00,0.0,0.0,0.0,1,1,0,80,1.0,0,Typea,Renault,Costum
2026-01-01 03:00:00,0.0,0.0,0.0,1,1,0,80,1.0,0,Typea,Renault,Costum
2026-01-01 04:00:00,0.0,0.0,0.0,1,1,0,80,1.0,0,Typea,Renault,Costum
2026-01-01 05:00:00,0.0,0.0,0.0,1,1,0,80,1.0,0,Typea,Renault,Costum
2026-01-01 06:00:00,0.0,0.0,0.0,1,1,0,80,1.0,0,Typea,Renault,Costum
2026-01-01 07:00:00,0.0,0.0,0.0,1,1,0,80,1.0,0,Typea,Renault,Costum
2026-01-01 08:00:00,0.0,0.0,0.0,1,1,0,80,1.0,0,Typea,Renault,Costum
2026-01-01 09:00:00,13.287948636848407,2.4093640779285233,0.18131949059820934,0,0,0,0,1.1329772784640002,0,Typea,Renault,Costum
2026-01-01 10:00:00,13.287948636848407,2.409397816451787,0.18132202962994293,0,0,0,0,1.1329772784640002,0,Typea,Renault,Costum
2026-01-01 11:00:00,13.287948636848407,6.135831308754189,0.4617591079287514,0,0,0,0,1.1329772784640002,0,Typea,Renault,Costum
2026-01-01 12:00:00,13.287948636848407,4.467627471162265,0.33621649159398637,0,0,0,0,1.1329772784640002,0,Typea,Renault,Costum
2026-01-01 13:00:00,13.287948636848407,1.9257794375348092,0.14492676711546645,0,0,0,0,1.1329772784640002,0,Typea,Renault,Costum
2026-01-01 14:00:00,13.287948636848407,4.00551002829717,0.30143930698148635,0,0,0,0,1.1329772784640002,0,Typea,Renault,Costum
2026-01-01 15:00:00,13.287948636848407,1.9382259409325886,0.14586344317720742,0,0,0,0,1.1329772784640002,0,Typea,Renault,Costum
2026-01-01 16:00:00,13.287948636848407,1.9334746564451994,0.14550587974757365,0,0,0,0,1.1329772784640002,0,Typea,Renault,Costum
2026-01-01 17:00:00,13.287948636848407,3.3877816548852073,0.25495144114951296,0,0,0,0,1.1329772784640002,0,Typea,Renault,Costum
2026-01-01 18:00:00,13.287948636848407,1.505494388294593,0.11329772784640002,0,0,0,0,1.1329772784640002,0,Typea,Renault,Costum
2026-01-01 19:00:00,13.287948636848407,1.505494388294593,0.11329772784640002,0,0,0,0,1.1329772784640002,0,Typea,Renault,Costum
2026-01-01 20:00:00,0.0,0.0,0.0,1,1,0,80,1.0,0,Typea,Renault,Costum
2026-01-01 21:00:00,0.0,0.0,0.0,1,1,0,80,1.0,0,Typea,Renault,Costum
2026-01-01 22:00:00,0.0,0.0,0.0,1,1,0,80,1.0,0,Typea,Renault,Costum
2026-01-01 23:00:00,0.0,0.0,0.0,1,1,0,80,1.0,0,Typea,Renault,Costum
2026-01-02 00:00:00,0.0,0.0,0.0,1,1,0,80,1.0,0,Typea,Renault,Costum
2026-01-02 01:00:00,0.0,0.0,0.0,1,1,0,80,1.0,0,Typea,Renault,Costum
2026-01-02 02:00:00,0.0,0.0,0.0,1,1,0,80,1.0,0,Typea,Renault,Costum
2026-01-02 03:00:00,0.0,0.0,0.0,1,1,0,80,1.0,0,Typea,Renault,Costum
2026-01-02 04:00:00,0.0,0.0,0.0,1,1,0,80,1.0,0,Typea,Renault,Costum
2026-01-02 05:00:00,0.0,0.0,0.0,1,1,0,80,1.0,0,Typea,Renault,Costum
2026-01-02 06:00:00,0.0,0.0,0.0,1,1,0,80,1.0,0,Typea,Renault,Costum
2026-01-02 07:00:00,0.0,0.0,0.0,1,1,0,80,1.0,0,Typea,Renault,Costum
2026-01-02 08:00:00,9.455967899305053,1.1655331851243131,0.123259004,0,0,0,0,1.23259004,0,Typea,Renault,Costum
2026-01-02 09:00:00,9.455967899305053,4.569601724792202,0.48325055387804733,0,0,0,0,1.23259004,0,Typea,Renault,Costum
2026-01-02 10:00:00,9.455967899305053,1.878624278526471,0.198670754652682,0,0,0,0,1.23259004,0,Typea,Renault,Costum
2026-01-02 11:00:00,9.455967899305053,2.3452579016102333,0.24801880955862732,0,0,0,0,1.23259004,0,Typea,Renault,Costum
2026-01-02 12:00:00,9.455967899305053,1.1655331851243131,0.123259004,0,0,0,0,1.23259004,0,Typea,Renault,Costum
2026-01-02 13:00:00,9.455967899305053,1.3717364968386856,0.14506568882699977,0,0,0,0,1.23259004,0,Typea,Renault,Costum
2026-01-02 14:00:00,9.455967899305053,2.414296319865133,0.2553198515027284,0,0,0,0,1.23259004,0,Typea,Renault,Costum
2026-01-02 15:00:00,9.455967899305053,1.1655331851243131,0.123259004,0,0,0,0,1.23259004,0,Typea,Renault,Costum
2026-01-02 16:00:00,9.455967899305053,2.8355415288140784,0.2998679309203736,0,0,0,0,1.23259004,0,Typea,Renault,Costum
2026-01-02 17:00:00,9.455967899305053,1.2822359113086867,0.13560070475735456,0,0,0,0,1.23259004,0,Typea,Renault,Costum
2026-01-02 18:00:00,9.455967899305053,1.7737527281350136,0.18758024001597676,0,0,0,0,1.23259004,0,Typea,Renault,Costum
2026-01-02 19:00:00,0.0,0.0,0.0,1,1,0,80,1.0,0,Typea,Renault,Costum
2026-01-02 20:00:00,0.0,0.0,0.0,1,1,0,80,1.0,0,Typea,Renault,Costum
2026-01-02 21:00:00,0.0,0.0,0.0,1,1,0,80,1.0,0,Typea,Renault,Costum
